,product,price,quantity,date,region,products
0,pink morsel,$3.00,546,2018-02-06,north,pink morsel
1,pink morsel,$3.00,549,2018-02-06,south,pink morsel
2,pink morsel,$3.00,577,2018-02-06,east,pink morsel
3,pink morsel,$3.00,519,2018-02-06,west,pink morsel
28,pink morsel,$3.00,529,2018-02-07,north,pink morsel
29,pink morsel,$3.00,566,2018-02-07,south,pink morsel
30,pink morsel,$3.00,514,2018-02-07,east,pink morsel
31,pink morsel,$3.00,545,2018-02-07,west,pink morsel
56,pink morsel,$3.00,534,2018-02-08,north,pink morsel
57,pink morsel,$3.00,512,2018-02-08,south,pink morsel
58,pink morsel,$3.00,501,2018-02-08,east,pink morsel
59,pink morsel,$3.00,567,2018-02-08,west,pink morsel
84,pink morsel,$3.00,586,2018-02-09,north,pink morsel
85,pink morsel,$3.00,554,2018-02-09,south,pink morsel
86,pink morsel,$3.00,594,2018-02-09,east,pink morsel
87,pink morsel,$3.00,505,2018-02-09,west,pink morsel
112,pink morsel,$3.00,554,2018-02-10,north,pink morsel
113,pink morsel,$3.00,519,2018-02-10,south,pink morsel
114,pink morsel,$3.00,550,2018-02-10,east,pink morsel
115,pink morsel,$3.00,558,2018-02-10,west,pink morsel
140,pink morsel,$3.00,518,2018-02-11,north,pink morsel
141,pink morsel,$3.00,529,2018-02-11,south,pink morsel
142,pink morsel,$3.00,521,2018-02-11,east,pink morsel
143,pink morsel,$3.00,588,2018-02-11,west,pink morsel
168,pink morsel,$3.00,586,2018-02-12,north,pink morsel
169,pink morsel,$3.00,536,2018-02-12,south,pink morsel
170,pink morsel,$3.00,523,2018-02-12,east,pink morsel
171,pink morsel,$3.00,551,2018-02-12,west,pink morsel
196,pink morsel,$3.00,524,2018-02-13,north,pink morsel
197,pink morsel,$3.00,572,2018-02-13,south,pink morsel
198,pink morsel,$3.00,591,2018-02-13,east,pink morsel
199,pink morsel,$3.00,575,2018-02-13,west,pink morsel
224,pink morsel,$3.00,589,2018-02-14,north,pink morsel
225,pink morsel,$3.00,570,2018-02-14,south,pink morsel
226,pink morsel,$3.00,566,2018-02-14,east,pink morsel
227,pink morsel,$3.00,504,2018-02-14,west,pink morsel
252,pink morsel,$3.00,582,2018-02-15,north,pink morsel
253,pink morsel,$3.00,578,2018-02-15,south,pink morsel
254,pink morsel,$3.00,508,2018-02-15,east,pink morsel
255,pink morsel,$3.00,538,2018-02-15,west,pink morsel
280,pink morsel,$3.00,526,2018-02-16,north,pink morsel
281,pink morsel,$3.00,594,2018-02-16,south,pink morsel
282,pink morsel,$3.00,509,2018-02-16,east,pink morsel
283,pink morsel,$3.00,584,2018-02-16,west,pink morsel
308,pink morsel,$3.00,595,2018-02-17,north,pink morsel
309,pink morsel,$3.00,563,2018-02-17,south,pink morsel
310,pink morsel,$3.00,547,2018-02-17,east,pink morsel
311,pink morsel,$3.00,525,2018-02-17,west,pink morsel
336,pink morsel,$3.00,548,2018-02-18,north,pink morsel
337,pink morsel,$3.00,558,2018-02-18,south,pink morsel
338,pink morsel,$3.00,517,2018-02-18,east,pink morsel
339,pink morsel,$3.00,579,2018-02-18,west,pink morsel
364,pink morsel,$3.00,521,2018-02-19,north,pink morsel
365,pink morsel,$3.00,549,2018-02-19,south,pink morsel
366,pink morsel,$3.00,535,2018-02-19,east,pink morsel
367,pink morsel,$3.00,513,2018-02-19,west,pink morsel
392,pink morsel,$3.00,566,2018-02-20,north,pink morsel
393,pink morsel,$3.00,525,2018-02-20,south,pink morsel
394,pink morsel,$3.00,500,2018-02-20,east,pink morsel
395,pink morsel,$3.00,517,2018-02-20,west,pink morsel
420,pink morsel,$3.00,579,2018-02-21,north,pink morsel
421,pink morsel,$3.00,514,2018-02-21,south,pink morsel
422,pink morsel,$3.00,555,2018-02-21,east,pink morsel
423,pink morsel,$3.00,516,2018-02-21,west,pink morsel
448,pink morsel,$3.00,545,2018-02-22,north,pink morsel
449,pink morsel,$3.00,544,2018-02-22,south,pink morsel
450,pink morsel,$3.00,556,2018-02-22,east,pink morsel
451,pink morsel,$3.00,588,2018-02-22,west,pink morsel
476,pink morsel,$3.00,511,2018-02-23,north,pink morsel
477,pink morsel,$3.00,521,2018-02-23,south,pink morsel
478,pink morsel,$3.00,547,2018-02-23,east,pink morsel
479,pink morsel,$3.00,591,2018-02-23,west,pink morsel
504,pink morsel,$3.00,543,2018-02-24,north,pink morsel
505,pink morsel,$3.00,566,2018-02-24,south,pink morsel
506,pink morsel,$3.00,575,2018-02-24,east,pink morsel
507,pink morsel,$3.00,574,2018-02-24,west,pink morsel
532,pink morsel,$3.00,532,2018-02-25,north,pink morsel
533,pink morsel,$3.00,570,2018-02-25,south,pink morsel
534,pink morsel,$3.00,545,2018-02-25,east,pink morsel
535,pink morsel,$3.00,553,2018-02-25,west,pink morsel
560,pink morsel,$3.00,562,2018-02-26,north,pink morsel
561,pink morsel,$3.00,511,2018-02-26,south,pink morsel
562,pink morsel,$3.00,508,2018-02-26,east,pink morsel
563,pink morsel,$3.00,510,2018-02-26,west,pink morsel
588,pink morsel,$3.00,555,2018-02-27,north,pink morsel
589,pink morsel,$3.00,565,2018-02-27,south,pink morsel
590,pink morsel,$3.00,526,2018-02-27,east,pink morsel
591,pink morsel,$3.00,540,2018-02-27,west,pink morsel
616,pink morsel,$3.00,589,2018-02-28,north,pink morsel
617,pink morsel,$3.00,531,2018-02-28,south,pink morsel
618,pink morsel,$3.00,581,2018-02-28,east,pink morsel
619,pink morsel,$3.00,519,2018-02-28,west,pink morsel
644,pink morsel,$3.00,556,2018-03-01,north,pink morsel
645,pink morsel,$3.00,594,2018-03-01,south,pink morsel
646,pink morsel,$3.00,509,2018-03-01,east,pink morsel
647,pink morsel,$3.00,556,2018-03-01,west,pink morsel
672,pink morsel,$3.00,545,2018-03-02,north,pink morsel
673,pink morsel,$3.00,523,2018-03-02,south,pink morsel
674,pink morsel,$3.00,582,2018-03-02,east,pink morsel
675,pink morsel,$3.00,591,2018-03-02,west,pink morsel
700,pink morsel,$3.00,513,2018-03-03,north,pink morsel
701,pink morsel,$3.00,500,2018-03-03,south,pink morsel
702,pink morsel,$3.00,523,2018-03-03,east,pink morsel
703,pink morsel,$3.00,519,2018-03-03,west,pink morsel
728,pink morsel,$3.00,591,2018-03-04,north,pink morsel
729,pink morsel,$3.00,548,2018-03-04,south,pink morsel
730,pink morsel,$3.00,538,2018-03-04,east,pink morsel
731,pink morsel,$3.00,558,2018-03-04,west,pink morsel
756,pink morsel,$3.00,511,2018-03-05,north,pink morsel
757,pink morsel,$3.00,551,2018-03-05,south,pink morsel
758,pink morsel,$3.00,519,2018-03-05,east,pink morsel
759,pink morsel,$3.00,582,2018-03-05,west,pink morsel
784,pink morsel,$3.00,573,2018-03-06,north,pink morsel
785,pink morsel,$3.00,573,2018-03-06,south,pink morsel
786,pink morsel,$3.00,553,2018-03-06,east,pink morsel
787,pink morsel,$3.00,600,2018-03-06,west,pink morsel
812,pink morsel,$3.00,527,2018-03-07,north,pink morsel
813,pink morsel,$3.00,534,2018-03-07,south,pink morsel
814,pink morsel,$3.00,536,2018-03-07,east,pink morsel
815,pink morsel,$3.00,550,2018-03-07,west,pink morsel
840,pink morsel,$3.00,537,2018-03-08,north,pink morsel
841,pink morsel,$3.00,510,2018-03-08,south,pink morsel
842,pink morsel,$3.00,566,2018-03-08,east,pink morsel
843,pink morsel,$3.00,556,2018-03-08,west,pink morsel
868,pink morsel,$3.00,582,2018-03-09,north,pink morsel
869,pink morsel,$3.00,508,2018-03-09,south,pink morsel
870,pink morsel,$3.00,502,2018-03-09,east,pink morsel
871,pink morsel,$3.00,568,2018-03-09,west,pink morsel
896,pink morsel,$3.00,596,2018-03-10,north,pink morsel
897,pink morsel,$3.00,573,2018-03-10,south,pink morsel
898,pink morsel,$3.00,582,2018-03-10,east,pink morsel
899,pink morsel,$3.00,528,2018-03-10,west,pink morsel
924,pink morsel,$3.00,564,2018-03-11,north,pink morsel
925,pink morsel,$3.00,545,2018-03-11,south,pink morsel
926,pink morsel,$3.00,536,2018-03-11,east,pink morsel
927,pink morsel,$3.00,530,2018-03-11,west,pink morsel
952,pink morsel,$3.00,533,2018-03-12,north,pink morsel
953,pink morsel,$3.00,506,2018-03-12,south,pink morsel
954,pink morsel,$3.00,534,2018-03-12,east,pink morsel
955,pink morsel,$3.00,553,2018-03-12,west,pink morsel
980,pink morsel,$3.00,548,2018-03-13,north,pink morsel
981,pink morsel,$3.00,537,2018-03-13,south,pink morsel
982,pink morsel,$3.00,518,2018-03-13,east,pink morsel
983,pink morsel,$3.00,505,2018-03-13,west,pink morsel
1008,pink morsel,$3.00,505,2018-03-14,north,pink morsel
1009,pink morsel,$3.00,544,2018-03-14,south,pink morsel
1010,pink morsel,$3.00,504,2018-03-14,east,pink morsel
1011,pink morsel,$3.00,592,2018-03-14,west,pink morsel
1036,pink morsel,$3.00,559,2018-03-15,north,pink morsel
1037,pink morsel,$3.00,501,2018-03-15,south,pink morsel
1038,pink morsel,$3.00,535,2018-03-15,east,pink morsel
1039,pink morsel,$3.00,549,2018-03-15,west,pink morsel
1064,pink morsel,$3.00,502,2018-03-16,north,pink morsel
1065,pink morsel,$3.00,579,2018-03-16,south,pink morsel
1066,pink morsel,$3.00,530,2018-03-16,east,pink morsel
1067,pink morsel,$3.00,589,2018-03-16,west,pink morsel
1092,pink morsel,$3.00,531,2018-03-17,north,pink morsel
1093,pink morsel,$3.00,538,2018-03-17,south,pink morsel
1094,pink morsel,$3.00,570,2018-03-17,east,pink morsel
1095,pink morsel,$3.00,554,2018-03-17,west,pink morsel
1120,pink morsel,$3.00,550,2018-03-18,north,pink morsel
1121,pink morsel,$3.00,585,2018-03-18,south,pink morsel
1122,pink morsel,$3.00,566,2018-03-18,east,pink morsel
1123,pink morsel,$3.00,553,2018-03-18,west,pink morsel
1148,pink morsel,$3.00,561,2018-03-19,north,pink morsel
1149,pink morsel,$3.00,503,2018-03-19,south,pink morsel
1150,pink morsel,$3.00,500,2018-03-19,east,pink morsel
1151,pink morsel,$3.00,515,2018-03-19,west,pink morsel
1176,pink morsel,$3.00,549,2018-03-20,north,pink morsel
1177,pink morsel,$3.00,538,2018-03-20,south,pink morsel
1178,pink morsel,$3.00,543,2018-03-20,east,pink morsel
1179,pink morsel,$3.00,559,2018-03-20,west,pink morsel
1204,pink morsel,$3.00,581,2018-03-21,north,pink morsel
1205,pink morsel,$3.00,523,2018-03-21,south,pink morsel
1206,pink morsel,$3.00,531,2018-03-21,east,pink morsel
1207,pink morsel,$3.00,526,2018-03-21,west,pink morsel
1232,pink morsel,$3.00,526,2018-03-22,north,pink morsel
1233,pink morsel,$3.00,527,2018-03-22,south,pink morsel
1234,pink morsel,$3.00,551,2018-03-22,east,pink morsel
1235,pink morsel,$3.00,526,2018-03-22,west,pink morsel
1260,pink morsel,$3.00,587,2018-03-23,north,pink morsel
1261,pink morsel,$3.00,537,2018-03-23,south,pink morsel
1262,pink morsel,$3.00,583,2018-03-23,east,pink morsel
1263,pink morsel,$3.00,588,2018-03-23,west,pink morsel
1288,pink morsel,$3.00,572,2018-03-24,north,pink morsel
1289,pink morsel,$3.00,570,2018-03-24,south,pink morsel
1290,pink morsel,$3.00,600,2018-03-24,east,pink morsel
1291,pink morsel,$3.00,576,2018-03-24,west,pink morsel
1316,pink morsel,$3.00,581,2018-03-25,north,pink morsel
1317,pink morsel,$3.00,588,2018-03-25,south,pink morsel
1318,pink morsel,$3.00,580,2018-03-25,east,pink morsel
1319,pink morsel,$3.00,569,2018-03-25,west,pink morsel
1344,pink morsel,$3.00,503,2018-03-26,north,pink morsel
1345,pink morsel,$3.00,547,2018-03-26,south,pink morsel
1346,pink morsel,$3.00,511,2018-03-26,east,pink morsel
1347,pink morsel,$3.00,584,2018-03-26,west,pink morsel
1372,pink morsel,$3.00,589,2018-03-27,north,pink morsel
1373,pink morsel,$3.00,530,2018-03-27,south,pink morsel
1374,pink morsel,$3.00,511,2018-03-27,east,pink morsel
1375,pink morsel,$3.00,568,2018-03-27,west,pink morsel
1400,pink morsel,$3.00,557,2018-03-28,north,pink morsel
1401,pink morsel,$3.00,509,2018-03-28,south,pink morsel
1402,pink morsel,$3.00,508,2018-03-28,east,pink morsel
1403,pink morsel,$3.00,543,2018-03-28,west,pink morsel
1428,pink morsel,$3.00,574,2018-03-29,north,pink morsel
1429,pink morsel,$3.00,519,2018-03-29,south,pink morsel
1430,pink morsel,$3.00,562,2018-03-29,east,pink morsel
1431,pink morsel,$3.00,593,2018-03-29,west,pink morsel
1456,pink morsel,$3.00,578,2018-03-30,north,pink morsel
1457,pink morsel,$3.00,592,2018-03-30,south,pink morsel
